round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,lr,lstm1_nodes,lstm2_nodes,lstm3_nodes,lstm_layers,optimizer
50,7.82E-05,0,0.000580398,0.004975124,64,50,0.001,70,30,70,2,Adam
50,0.000441253,0,0.001373279,0.004975124,64,50,0.001,70,50,30,1,Adam
50,1.41E-05,0,0.00080647,0.004975124,64,50,0.001,70,50,30,2,Adam
50,2.73E-05,0,0.000832976,0.004975124,64,50,0.001,70,50,50,1,Adam
50,3.72E-05,0,0.000487909,0.004975124,64,50,0.001,70,50,50,2,Adam
50,6.90E-05,0,0.001127194,0.004975124,64,50,0.001,70,50,70,1,Adam
50,3.10E-05,0,0.000544551,0.004975124,64,50,0.001,70,50,70,2,Adam
50,0.00025627,0,0.001450098,0.004975124,64,50,0.001,70,70,30,1,Adam
50,3.16E-05,0,0.000825061,0.004975124,64,50,0.001,70,70,30,2,Adam
50,0.00029746,0,0.000871958,0.004975124,64,50,0.001,70,70,50,1,Adam
