Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,BIAS_24_L1
2016/10/3,16598.66992,99200000,16578.31016,16720.63291,17139.24527,16302.02055,43.46374775,16618.25591,16643.94372,-25.68780568,0.367882167,-26.05568784,0.904750925,0.156792337,0.078179586,-0.826924246,0.416666667,0.5,51.89874646,41.59829242,37.76860197,-0.779298441,148.8300781,16449.83984,-1.657890694
2016/10/4,16735.65039,100300000,16588.6543,16711.13145,17119.18961,16303.07328,58.56221208,16636.3166,16650.73681,-14.42020365,-2.589734996,-11.83046865,0.82524967,0.789644959,0.842559049,-0.008040777,0.5,0.5,17.87557729,79.88459628,40.49429623,0.730759605,136.9804688,16598.66992,-0.826924246
2016/10/5,16819.24023,115100000,16659.42227,16700.21191,17083.68506,16316.73877,56.3819027,16664.4587,16663.21854,1.240158174,-1.823756362,3.063914535,0.499471737,1.155674278,1.135877125,0.467909849,0.583333333,0.541666667,0,100,73.82762957,2.525024213,83.58984375,16735.65039,-0.008040777
2016/10/6,16899.09961,110600000,16700.5,16691.06787,17045.29804,16336.8377,73.53373833,16700.5573,16680.69121,19.866088,2.51421251,17.35187549,0.474809646,1.196039958,1.423051576,0.942001912,0.583333333,0.541666667,0,100,93.29486543,2.299194266,79.859375,16819.24023,0.467909849
2016/10/7,16860.08984,100300000,16782.55,16683.45039,17015.57184,16351.32894,61.36249653,16725.10077,16693.98,31.12076865,8.235523739,22.88524492,-0.230839314,0.795066389,1.003060102,0.725721664,0.583333333,0.5,8.683120237,91.31687976,97.10562659,2.230997441,-39.00976563,16899.09961,0.942001912
2016/10/11,17024.75977,111600000,16867.76797,16686.7499,17030.84205,16342.65776,94.02551562,16771.20215,16718.48221,52.71994791,17.13240857,35.58753934,0.976684724,1.199800581,1.879103289,1.684415412,0.583333333,0.541666667,0,100,97.10562659,1.291917809,164.6699219,16860.08984,0.725721664
2016/10/12,16840,116300000,16888.63789,16680.46191,17008.13411,16352.78972,67.51639491,16781.78644,16727.48352,54.30291391,24.56650964,29.73640427,-1.085241543,-0.137222214,0.730278984,0.630387154,0.583333333,0.5,32.1366087,67.8633913,86.39342369,0.513193079,-184.7597656,17024.75977,1.684415412
2016/10/13,16774.24023,111100000,16879.63789,16685.52793,17015.70047,16355.35539,53.12393276,16780.62548,16730.94698,49.67849955,29.58890762,20.08959192,-0.390497421,-0.565108483,0.222187644,0.314292075,0.583333333,0.458333333,43.57468262,56.42531738,74.7629029,1.388248947,-65.75976563,16840,0.630387154
2016/10/14,16856.36914,109400000,16871.0918,16691.89443,17029.99276,16353.79611,53.01279288,16792.27835,16740.23751,52.04083979,34.07929406,17.96154574,0.489613271,-0.114902234,0.626493747,0.844661844,0.583333333,0.5,29.28940511,60.48001907,61.58957592,1.03356617,82.12890625,16774.24023,0.314292075
2016/10/17,16900.11914,95100000,16879.09766,16706.18838,17053.97952,16358.39724,50.08787879,16808.86924,16752.0806,56.78864665,38.62116458,18.16748208,0.259545811,0.143337011,0.66995713,1.121183896,0.666666667,0.541666667,21.67964968,56.8880722,57.93113622,2.640195438,43.75,16856.36914,0.844661844
2016/10/18,16963.60938,98600000,16866.86758,16734.11836,17070.19833,16398.03839,58.56157966,16832.67542,16767.7494,64.92602233,43.88213613,21.0438862,0.375679212,0.416892616,0.912953398,1.501619329,0.666666667,0.541666667,10.63633183,75.5905696,64.31955362,1.616767168,63.49023438,16900.11914,1.121183896
2016/10/19,16998.91016,101700000,16898.64961,16758.09941,17097.86698,16418.33185,47.28007333,16858.24999,16784.87241,73.37757816,49.78122453,23.59635363,0.208097112,0.651526427,0.848448921,1.630242984,0.75,0.583333333,4.49621041,89.68159918,74.05341366,3.337845947,35.30078125,16963.60938,1.501619329
2016/10/20,17235.5,112400000,16990.90156,16795.26689,17171.23604,16419.29775,87.52232854,16916.28846,16818.25224,98.03621966,59.43222356,38.6039961,1.391794189,1.655630277,1.931131384,2.914884922,0.75,0.583333333,0,100,88.42405626,3.836633183,236.5898438,16998.91016,1.630242984
2016/10/21,17184.58984,114200000,17056.5457,16814.11543,17226.68747,16401.54339,90.05990901,16957.56559,16845.38835,112.1772372,69.98122629,42.19601092,-0.295379631,0.948159352,1.405684302,2.465496167,0.666666667,0.583333333,7.994307744,88.96280143,92.88146687,2.682533649,-50.91015625,17235.5,2.914884922
2016/10/24,17234.41992,87700000,17123.40586,16838.13545,17288.15401,16388.11688,89.39086832,17000.15857,16874.20551,125.9530579,81.17559261,44.77746529,0.289969552,0.867533976,1.492519288,2.551296301,0.666666667,0.625,0.216080618,99.76584168,96.24288104,2.468480631,49.83007813,17184.58984,2.465496167
2016/10/25,17365.25,108400000,17203.73398,16879.16992,17363.02331,16395.31653,91.02036317,17056.32648,16910.57917,145.7473048,94.08993504,51.65736972,0.759120868,1.174202699,2.029566228,3.113513169,0.666666667,0.625,0,100,96.24288104,2.758433298,130.8300781,17234.41992,2.551296301
2016/10/26,17391.83984,98100000,17282.31992,16914.56543,17438.05858,16391.07228,90.39523041,17107.94392,16946.22811,161.715807,107.6151094,54.10069758,0.153120996,0.909510357,1.920436706,3.042034912,0.75,0.666666667,0,100,99.92194723,3.153897784,26.58984375,17365.25,3.113513169
2016/10/27,17336.41992,107600000,17302.50391,16958.11641,17469.68333,16446.54948,80.67322951,17143.09407,16975.13121,167.9628642,119.6846604,48.27820383,-0.318654739,0.260727869,1.44126839,2.579777051,0.666666667,0.625,8.973438622,88.72939018,96.24313006,1.830628805,-55.41992188,17391.83984,3.042034912
2016/10/28,17446.41016,167900000,17354.86797,16995.75137,17534.02571,16457.47703,74.89671136,17189.75809,17010.04076,179.7173253,131.6911934,48.02613192,0.634446067,0.692130298,1.783891082,3.054672542,0.75,0.666666667,0,100,96.24313006,3.601010429,109.9902344,17336.41992,2.579777051
